X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
15x34,2.0379405,1.5008783,1.4314258,0.9691193,5.84239,1.2808076,1.3343594,2.2227578,1.3762422,0.96360093,4.784579,1.4722513,0.8993211
34x34,0.44001544,0.87148935,1.0786467,0.32954195,1.4287711,0.38608736,0.5263271,0.9482352,0.5700721,0.24577813,1.9008434,0.4727076,0.6485995
19x30,3.6288068,2.4260778,2.7509081,1.5292785,8.561104,1.5415875,2.0061266,3.5120099,2.1806023,1.1572797,5.509215,1.407349,1.3501939
31x35,1.1408529,0.82482606,0.6213142,0.4165309,3.289888,0.74361026,0.66819906,0.86651087,0.7302173,0.44547513,2.3529446,0.35193977,0.94733727
6x22,0.45280322,0.20244952,0.4384162,0.12486275,1.5003374,0.2726714,0.37794733,0.4917054,0.32646808,0.44578162,0.9194491,0.19633405,0.12726265
16x33,4.2029753,3.3599846,3.844181,1.8361758,14.099157,3.0558248,2.41007,4.176029,3.7276099,2.0096908,6.097174,1.8036078,2.2690532
1x27,0.56859815,0.70310545,0.714243,0.36524957,2.7318227,0.5540902,0.661375,1.0129663,0.98450756,0.6172442,2.0726957,0.3490122,0.37856418
23x37,4.0659814,3.1177971,3.4559453,2.3426504,11.802295,2.9382784,3.358092,4.07873,3.591222,1.7658968,6.7954593,1.9383326,2.4772358
7x43,0.4628372,0.30898643,0.5673276,0.20515972,1.6681582,0.26032764,0.19760962,0.46110833,0.28521836,0.24163596,0.75625056,0.2262926,0.40338835
35x43,0.21334055,0.06389675,0.17862964,0.053613596,0.24210642,0.10077805,0.056975156,0.19291914,0.15253033,0.045615107,0.5133256,0.06037284,0.22246972
34x9,0.38459626,0.29093233,0.33674,0.19562064,1.4385297,0.18651575,0.2784521,0.43335956,0.3302884,0.12868105,1.1118644,0.2041298,0.23337987
25x34,2.470077,1.7491866,2.0717013,1.0120723,5.7685404,0.9267625,2.001778,2.894618,1.6012902,0.8668478,3.0624583,1.2513008,1.4450656
25x14,0.10014278,0.14831722,0.10352408,0.056001615,0.7686791,0.10418753,0.15892042,0.24099024,0.24042952,0.0875832,0.6845808,0.049640518,0.09495754
10x35,0.3848724,0.20602189,0.25936827,0.08656754,0.76794404,0.19624043,0.19082013,0.4660363,0.26543772,0.11550199,0.70824176,0.09572815,0.3090671
