,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,range,p95_minus_p05,p99_minus_p01
Keratinocytes,1691.0,0.256911014171001,0.07315676238788825,0.04508679665386394,0.10817983768790267,0.1426514100017851,0.16918288877414026,0.2135746199591197,0.250850951594642,0.2951019901062346,0.3522442896993605,0.38471351612546356,0.466269622317849,0.5827107422120695,0.5376239455582056,0.24206210612367846,0.35808978462994634
Schwann cell,1691.0,0.17654196557405422,0.05896121594740736,0.05746584915611574,0.09271825579154502,0.10814703158495725,0.11878237593319772,0.13772418067453873,0.1622164080571344,0.2014393022915523,0.25038099812641207,0.2857723332868066,0.38489520460143967,0.5569693489178852,0.49950349976176944,0.17762530170184937,0.29217694880989464
Fibroblast,1691.0,0.0658289631811818,0.033583185017723914,0.007208712022932803,0.018198632177562134,0.023912602398975025,0.02922757316633389,0.04175274863857301,0.061497097623606875,0.08086275753008632,0.10557118557345173,0.12757611487766285,0.1772596937482757,0.2973147134874323,0.2901060014644995,0.10366351247868782,0.15906106157071356
B cell,1691.0,0.06441839597652148,0.03396649598735112,0.009860724250125096,0.02104606726036986,0.026710895209192995,0.031181777448315455,0.04144039706950222,0.05794742737074079,0.07902163767748639,0.10042571163060196,0.12249961242306873,0.18102570849547345,0.3834746972811863,0.37361397303106125,0.09578871721387573,0.15997964123510358
Mast cell,1691.0,0.09817565186664601,0.03334198848556364,0.03422226319579251,0.057304675248831545,0.06437431022980175,0.06921835186089477,0.0782387918281999,0.09008406829684573,0.10903110048542107,0.13531930735003495,0.15659711750683636,0.21969984731132713,0.46332239854389945,0.4291001353481069,0.09222280727703461,0.1623951720624956
Melanocyte,1691.0,0.06665946336585195,0.032675272769565035,0.021818238831791844,0.028933556356237313,0.034117512930417156,0.03803517368762796,0.04598949982920633,0.059811957892536204,0.07694264185085485,0.10337154381481686,0.12338912501826647,0.18400789018492134,0.3878185125231796,0.36600027369138777,0.08927161208784931,0.15507433382868402
DC,1691.0,0.048451292936868895,0.027519601996091686,0.009131034533997705,0.013752746128589186,0.017914896446039035,0.02128066050073617,0.028816152197434792,0.04348341108097488,0.061352953235007515,0.08026759603040391,0.09586471609084786,0.13318567662798994,0.3512872594434681,0.3421562249094704,0.07794981964480882,0.11943293049940075
Lymphatic endothelium,1691.0,0.04555240438188496,0.022620355849727124,0.01321925568215636,0.017542270767980893,0.021711700882991895,0.023894751682155515,0.029712112639684554,0.04089822237623085,0.05551121934860842,0.07081139937577964,0.08815873979811366,0.12799842114135648,0.211480353843259,0.19826109816110263,0.06644703891512177,0.11045615037337558
Vascular endothelium,1691.0,0.03676512667404626,0.02448136676712871,0.00452548389859796,0.009673304919102744,0.012805256545209111,0.01465432101068776,0.02043665349189864,0.03129683657462835,0.045507370086881355,0.06317868506473405,0.07745126894923166,0.1312584254219936,0.25797551737530827,0.2534500334767103,0.06464601240402254,0.12158512050289084
Macrophage,1691.0,0.04288127681925186,0.022880082322606864,0.00963110645576995,0.015579389272855463,0.018930374877751628,0.021887496862733787,0.027714565879500403,0.037842861830012765,0.05180513518945916,0.06677166857597844,0.08227024330589594,0.1286101154286197,0.2717533220078748,0.2621222155521048,0.06333986842814432,0.11303072615576423
Mural cell,1691.0,0.03538991726144801,0.025001798622264232,0.01090914451132931,0.014677189967243024,0.01743030748086565,0.019233177803545144,0.023460058682671987,0.030741401957437946,0.039789724348810215,0.05381031119218541,0.06903217650261548,0.11430914736068692,0.6198434796189664,0.6089343351076371,0.05160186902174983,0.0996319573934439
ILC,1691.0,0.03144498287385367,0.011514596523516494,0.00899859930688591,0.016155048276215528,0.018775565227456045,0.02072502199854241,0.024373097700312436,0.029607571315243365,0.0356400004050811,0.04282540416185508,0.05018084110323358,0.07524637475850265,0.18912806343596583,0.18012946412907993,0.03140527587577753,0.059091326482287126
T cell,1691.0,0.030979544917389894,0.011253902653637172,0.010871223544778775,0.015544448303516825,0.01820429914154944,0.020305186893714636,0.02396220047060954,0.02901173136687541,0.03551726022464144,0.04205718033086609,0.04904184295829908,0.07032922741498564,0.1658236262318069,0.15495240268702815,0.030837543816749642,0.05478477911146881
