celltype,valid_markers,n_markers,spearman_abs_abundance_vs_marker,spearman_abs_pvalue,pearson_abs_abundance_vs_marker,pearson_abs_pvalue,spearman_relative_abundance_vs_marker,spearman_relative_pvalue,pearson_relative_abundance_vs_marker,pearson_relative_pvalue
Fibroblast,"COL1A1,COL1A2,DCN",3,0.5214479963217549,1.5362233554130312e-118,0.39989736496081213,5.949416538849865e-66,0.29250711798009305,1.0342716859125687e-34,0.23704047311426102,5.009042073182096e-23
Macrophage,"C1QA,C1QB",2,0.3455926193200967,1.2558874310410487e-48,0.2588470458858673,2.7280692335339672e-27,0.2491090823097913,2.4633878210916313e-25,0.16545414291959382,7.595918241302507e-12
Mural cell,"RGS5,ACTA2,MCAM",3,0.3585482213275573,1.83520999188938e-52,0.2653443748820407,1.2133324730913973e-28,0.22159433891863006,2.9578746403031155e-20,0.1560523620729245,1.1040619270978436e-10
B cell,"MS4A1,CD79A,CD74",3,0.3920357420837334,3.098098380898109e-63,0.2623103852777523,5.247694378747056e-28,0.180044199870469,8.698589802506968e-14,0.05684754310228959,0.019395879797590797
Vascular endothelium,"VWF,KDR",2,0.19282387331670192,1.2587150652242185e-15,0.11445574736108646,2.3740720509654976e-06,0.1548225483819443,1.5487094530534581e-10,0.18299831879180345,3.356376877945316e-14
Keratinocytes,"KRT14,KRT5,KRT1,KRT10",4,0.6510351633041055,1.7719075851756637e-204,0.584194206969481,2.583914662670163e-155,0.15075333342114783,4.6555026485824234e-10,0.13192135810535668,5.1910408957791826e-08
T cell,TRAC,1,0.17395131999434635,5.895542353242296e-13,0.10210936973971595,2.5899773645399365e-05,0.10884727582458957,7.256694840904488e-06,0.1950643966244539,5.805723215213775e-16
DC,"CD1C,FCER1A,CLEC10A",3,0.1864093345521712,1.0955771409282966e-14,0.12701373979349947,1.6022526638701947e-07,0.09485306139387281,9.366130649931301e-05,0.031263101685982446,0.19880712772342984
Lymphatic endothelium,"PROX1,PDPN",2,0.10725049737157034,9.878198419330956e-06,0.051188843900358355,0.035308785156840015,0.0767539780981739,0.001585366719592948,0.10092982038599116,3.2109503937748946e-05
Melanocyte,DCT,1,0.10439270559410133,1.6972578578138083e-05,0.12536685916185947,2.317112650376408e-07,0.059258407768496446,0.014803513998350686,0.019817808004812955,0.4154039776543794
Mast cell,TPSAB1,1,0.02840394053301277,0.24305204269607375,0.01106608710253498,0.649300243491456,0.025962198276666057,0.2859709576988504,0.01301032332391451,0.5929025955247175
Schwann cell,"S100B,MPZ,PLP1,SOX10",4,0.3093383615329486,8.037686210842376e-39,0.22406471570722444,1.099997138297088e-20,-0.07491976734579747,0.002050018258437555,-0.00041042379731001926,0.9865444154634765
