gene,detected_spots
MIR1302.11,1
RP11.34P13.7,1
AL627309.1,40
AP006222.2,2
RP4.669L17.10,4
RP11.206L10.9,2
LINC00115,26
RP11.206L10.11,7
RP11.54O7.3,1
SAMD11,1
NOC2L,116
KLHL17,2
PLEKHN1,83
HES4,37
ISG15,12
AGRN,1
C1orf159,129
RP11.465B22.8,18
TNFRSF18,36
SDF4,22
B3GALT6,4
FAM132A,21
UBE2J2,16
SCNN1D,4
ACAP3,304
PUSL1,2
CPSF3L,118
GLTPD1,63
TAS1R3,4
DVL1,115
MXRA8,78
AURKAIP1,35
CCNL2,485
RP4.758J18.2,16
MRPL20,75
ANKRD65,7
VWA1,16
ATAD3C,63
ATAD3B,69
ATAD3A,91
SSU72,92
AL645728.1,1
C1orf233,24
RP11.345P4.9,2
MIB2,53
MMP23B,26
CDK11B,26
SLC35E2B,50
CDK11A,1
NADK,80
GNB1,84
C1orf222,1
GABRD,21
PRKCZ,57
AL590822.2,2
C1orf86,49
SKI,26
RER1,65
PEX10,27
PLCH2,125
PANK4,43
RP3.395M20.12,1
TNFRSF14,171
FAM213B,3
LINC00982,10
PRDM16,2
MEGF6,122
TPRG1L,62
WRAP73,44
TP73,81
TP73.AS1,6
CCDC27,1
SMIM1,4
LRRC47,127
CEP104,24
DFFB,1
C1orf174,46
AJAP1,6
KCNAB2,30
CHD5,36
RPL22,296
RP1.120G22.11,4
ICMT,117
GPR153,8
ACOT7,113
ESPN,28
TNFRSF25,153
PLEKHG5,6
NOL9,17
ZBTB48,126
KLHL21,61
PHF13,1
THAP3,84
DNAJC11,28
RP11.312B8.1,11
RP11.338N10.1,1
RP11.338N10.3,4
CAMTA1,23
VAMP3,75
PER3,40
TNFRSF9,2
PARK7,115
ERRFI1,30
SLC45A1,5
RERE,64
ENO1,375
CA6,136
SLC2A5,31
GPR157,42
RP3.510D11.1,0
H6PD,55
SPSB1,8
SLC25A33,54
TMEM201,20
PIK3CD,45
CLSTN1,46
RP11.84A14.5,5
CTNNBIP1,152
LZIC,11
NMNAT1,425
UBE4B,32
RNU6.37P,1
KIF1B,153
PGD,197
RP5.1113E3.3,1
DFFA,16
PEX14,19
CASZ1,152
TARDBP,83
RP4.635E18.8,56
SRM,104
EXOSC10,46
ANGPTL7,1
MTOR,16
UBIAD1,146
PTCHD2,6
FBXO2,3
FBXO44,114
FBXO6,126
MAD2L2,19
AGTRAP,103
MTHFR,6
C1orf167,56
CLCN6,22
RNU5E.1,0
KIAA2013,82
PLOD1,117
MFN2,177
MIIP,56
TNFRSF1B,16
VPS13D,85
DHRS3,59
AADACL3,296
snoU13,107
C1orf158,43
PRAMEF2,1
PRAMEF10,1
PDPN,2
PRDM2,84
KAZN,3
EFHD2,22
CASP9,6
RP4.680D5.8,1
DNAJC16,17
AGMAT,1
DDI2,43
PLEKHM2,122
SLC25A34,24
FBLIM1,211
RP11.169K16.9,3
SPEN,35
ZBTB17,76
C1orf64,1
HSPB7,2
FAM131C,0
ARHGEF19,13
FBXO42,47
SZRD1,31
NECAP2,14
RNU1.1,10
RP4.798A10.4,3
NBPF1,15
CROCCP2,121
RNU1.3,6
RNU1.4,7
U1,1
RP11.108M9.4,28
RNU1.2,7
RP11.108M9.6,1
CROCC,6
MFAP2,5
ATP13A2,7
SDHB,16
PADI2,24
PADI3,2
PADI4,14
RCC2,63
ARHGEF10L,40
KLHDC7A,1
ALDH4A1,19
RP5.1126H10.2,4
UBR4,6
EMC1,143
MRTO4,64
AKR7A3,4
AKR7A2,13
PQLC2,54
CAPZB,57
MINOS1,112
NBL1,66
TMCO4,18
OTUD3,52
PLA2G2A,12
PLA2G2D,1
PLA2G2F,7
CAMK2N1,82
MUL1,51
CDA,14
PINK1,222
PINK1.AS,2
DDOST,49
KIF17,4
SH2D5,10
HP1BP3,198
EIF4G3,5
ECE1,33
NBPF3,5
ALPL,19
RAP1GAP,14
USP48,45
HSPG2,159
LINC00339,89
CDC42,81
WNT4,29
ZBTB40,6
EPHA8,1
C1QA,26
C1QC,5
C1QB,93
EPHB2,0
MIR4419A,0
KDM1A,36
LUZP1,21
RP5.1057J7.6,78
HNRNPR,16
ZNF436,14
C1orf213,115
RP5.1057J7.7,53
TCEA3,24
ASAP3,57
E2F2,30
ID3,20
RPL11,490
TCEB3,26
RP5.886K2.3,1
PITHD1,36
LYPLA2,83
GALE,7
HMGCL,179
PNRC2,72
